image_path,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,label
01_TUMOR/tumor (551).tif,2099,868,1231,20.0,75.9458525345622,45.0,128.35337124289197,142.08773354995938,13.734362307067425,143.0,7,361,283,118,64,14,7,14,0,366,0,13,243,355,316,153,54,47,50,534,2202,924,1278,10.0,47.366883116883116,24.0,90.44366197183099,102.60719874804381,12.163536776212833,139.0,248,467,159,31,7,4,0,8,0,352,3,296,492,281,109,21,14,62,0,502,2295,961,1334,46.0,101.75338189386056,84.0,143.17391304347825,155.3823088455772,12.20839580209895,117.0,0,17,367,393,127,31,5,21,0,390,0,0,16,323,557,286,64,59,29,555,1
01_TUMOR/tumor (552).tif,1787,780,1007,17.0,77.33974358974359,33.0,119.34657398212512,132.25024826216486,12.903674280039722,178.0,29,299,212,148,46,24,7,15,0,287,0,47,194,344,236,85,63,34,4,379,2158,997,1161,0.0,19.792377131394183,7.0,44.000861326442724,53.21877691645133,9.217915590008614,196.0,841,125,18,4,4,0,0,5,0,172,450,521,108,44,11,4,2,21,0,310,1962,876,1086,12.0,57.358447488584474,25.0,86.71639042357275,96.8342541436464,10.117863720073665,158.0,46,539,226,40,12,5,0,8,0,218,1,183,564,204,81,26,3,24,0,328,1
01_TUMOR/tumor (553).tif,2191,915,1276,30.0,113.28196721311475,56.0,151.75470219435738,162.141065830721,10.386363636363637,72.0,1,51,191,237,349,70,14,2,0,365,0,1,30,144,446,483,108,57,7,490,2471,1050,1421,8.0,44.47238095238095,17.0,69.899366643209,77.94722026741731,8.047853624208305,115.0,263,635,137,8,5,0,0,2,0,295,21,509,724,95,36,15,6,15,0,385,2520,1067,1453,41.0,93.3045923149016,53.0,120.56022023399862,128.96490020646937,8.40467997247075,94.0,0,51,408,534,58,12,2,2,0,317,0,2,87,818,417,74,28,27,0,447,1
01_TUMOR/tumor (554).tif,2020,882,1138,20.0,78.82426303854875,32.0,121.23989455184534,135.63620386643234,14.396309314586995,145.0,15,260,382,149,34,22,15,5,0,351,0,5,202,457,280,97,60,30,7,484,2344,1045,1299,3.0,25.735885167464115,14.0,53.31100846805235,64.27482678983834,10.96381832178599,164.0,770,237,28,5,3,0,2,0,0,288,148,843,198,59,23,8,10,10,0,456,2287,1005,1282,28.0,72.59800995024875,45.0,101.73400936037442,113.15210608424337,11.418096723868954,126.0,2,255,621,99,15,9,2,2,0,332,0,6,495,583,120,45,14,17,2,488,1
01_TUMOR/tumor (555).tif,1602,697,905,16.0,75.15208034433286,33.0,130.4243093922652,146.3160220994475,15.89171270718232,165.0,66,270,193,69,31,24,29,15,0,274,0,37,201,269,122,62,75,137,2,386,1802,806,996,0.0,30.977667493796528,10.0,68.31024096385542,79.96686746987952,11.656626506024097,186.0,612,102,31,25,7,11,16,2,0,181,251,415,110,46,37,34,56,47,0,300,1691,742,949,17.0,76.73315363881402,38.0,115.82402528977872,128.1190727081138,12.29504741833509,175.0,13,319,246,58,43,23,33,7,0,225,0,48,344,233,99,67,72,86,0,338,1
01_TUMOR/tumor (556).tif,2018,876,1142,14.0,68.37214611872146,35.0,113.0061295971979,127.9614711033275,14.955341506129598,172.0,38,403,212,166,46,9,1,1,0,363,0,65,300,324,289,95,43,26,0,496,2206,997,1209,2.0,29.586760280842526,12.0,62.603804797353185,75.32340777502068,12.719602977667494,194.0,615,312,62,6,1,1,0,0,0,290,129,593,305,100,41,20,10,11,0,462,2132,940,1192,25.0,81.70531914893617,51.0,116.96140939597315,129.74496644295303,12.783557046979865,162.0,1,195,433,253,47,9,1,1,0,328,0,9,212,530,279,106,44,12,0,462,1
01_TUMOR/tumor (557).tif,1785,775,1010,12.0,64.72516129032257,36.0,101.78613861386138,114.06831683168316,12.282178217821782,126.0,25,414,192,102,35,7,0,0,0,273,0,57,381,309,164,87,11,1,0,394,2000,885,1115,6.0,34.46214689265537,16.0,62.10224215246637,72.33811659192826,10.235874439461883,136.0,473,328,59,25,0,0,0,0,0,257,35,604,305,143,25,3,0,0,0,376,1961,859,1102,36.0,87.66472642607684,65.0,116.97640653357531,127.39110707803992,10.41470054446461,105.0,0,40,504,247,62,6,0,0,0,264,0,0,122,560,294,120,6,0,0,390,1
01_TUMOR/tumor (558).tif,2121,909,1212,18.0,82.3993399339934,31.0,120.36386138613861,133.20544554455446,12.841584158415841,127.0,21,325,211,226,66,30,27,3,0,353,0,38,282,369,312,72,78,60,1,490,2253,986,1267,4.0,40.089249492900606,15.0,69.00078926598263,79.68745067087609,10.68666140489345,142.0,440,434,67,12,6,20,6,1,0,281,55,600,432,60,36,28,41,15,0,442,2271,982,1289,29.0,92.27494908350306,53.0,124.52598913886735,135.3646237393328,10.838634600465477,109.0,1,78,454,347,45,22,31,4,0,345,0,3,107,629,354,72,68,56,0,475,1
01_TUMOR/tumor (559).tif,1842,807,1035,28.0,80.11648079306072,49.0,117.4,129.42705314009663,12.02705314009662,126.0,2,188,373,185,50,4,5,0,0,315,0,9,142,448,331,71,31,3,0,400,2181,971,1210,2.0,25.25231719876416,12.0,48.17355371900826,56.46694214876033,8.293388429752065,145.0,700,267,3,1,0,0,0,0,0,242,139,897,124,35,14,1,0,0,0,331,2118,943,1175,35.0,73.42311770943796,56.0,98.58553191489362,107.28255319148936,8.697021276595745,127.0,0,160,687,88,6,2,0,0,0,289,0,1,385,690,71,26,1,1,0,342,1
01_TUMOR/tumor (56).tif,1725,734,991,13.0,94.37874659400545,29.0,152.94651866801212,165.8960645812311,12.949545913218971,161.0,22,237,201,115,41,14,23,81,0,279,1,26,113,223,210,83,58,243,34,364,1871,843,1028,0.0,34.530249110320284,11.0,79.4056420233463,89.54182879377431,10.136186770428015,178.0,590,189,11,7,3,1,3,39,0,173,157,478,146,53,16,7,24,147,0,290,1764,767,997,17.0,75.39765319426337,31.0,123.84152457372116,134.75727181544633,10.915747241725176,140.0,14,354,277,48,13,3,5,53,0,226,0,31,343,274,94,35,30,189,1,329,1
01_TUMOR/tumor (560).tif,1596,685,911,22.0,63.8,29.0,95.55982436882546,103.5257958287596,7.9659714599341385,125.0,10,386,217,53,5,5,5,4,0,171,1,39,445,307,74,8,15,22,0,219,1942,863,1079,1.0,23.59907300115875,12.0,43.583873957367935,50.333642261353106,6.749768303985172,143.0,699,152,5,0,2,1,1,3,0,140,292,670,83,4,2,8,6,14,0,219,1762,761,1001,33.0,73.02365308804205,51.0,96.37162837162838,103.5034965034965,7.131868131868132,125.0,0,185,486,74,3,6,1,6,0,149,0,5,505,396,55,6,16,18,0,232,1
01_TUMOR/tumor (561).tif,1767,768,999,14.0,76.52604166666667,26.0,124.49349349349349,138.9069069069069,14.413413413413414,152.0,47,296,208,123,42,19,11,22,0,316,3,43,213,280,229,97,51,55,28,439,2196,998,1198,0.0,18.246492985971944,7.0,44.49248747913189,53.77212020033389,9.279632721202004,185.0,848,132,7,7,2,0,1,1,0,182,454,566,82,36,19,18,11,12,0,323,1986,880,1106,10.0,55.407954545454544,28.0,87.0244122965642,97.1627486437613,10.138336347197107,170.0,59,530,245,25,13,6,2,0,0,218,1,184,604,182,54,38,22,21,0,350,1
01_TUMOR/tumor (562).tif,1502,653,849,18.0,68.55130168453293,29.0,118.82449941107186,133.91872791519435,15.094228504122498,171.0,88,308,105,75,29,7,9,32,0,252,2,108,235,161,158,43,30,103,9,354,1879,853,1026,0.0,25.420867526377492,9.0,57.134502923976605,66.62670565302145,9.492202729044834,155.0,706,95,12,4,3,2,2,29,0,160,389,413,75,26,15,18,9,81,0,292,1667,744,923,12.0,62.884408602150536,35.0,101.59479956663056,112.26868905742145,10.673889490790899,142.0,37,426,201,40,5,5,9,21,0,205,0,118,437,177,45,24,35,87,0,311,1
01_TUMOR/tumor (563).tif,1889,806,1083,24.0,79.25186104218362,45.0,115.14681440443213,124.92059095106187,9.773776546629731,98.0,6,256,286,178,55,16,7,2,0,278,0,30,253,404,225,106,49,16,0,360,2172,954,1218,0.0,26.035639412997902,12.0,48.92200328407225,56.61986863711002,7.697865353037767,152.0,650,257,37,9,1,0,0,0,0,196,292,665,150,82,11,7,11,0,0,290,2099,926,1173,35.0,74.7829373650108,52.0,100.4842284739983,108.4765558397272,7.9923273657289,121.0,0,259,506,127,30,4,0,0,0,231,0,16,446,495,133,63,14,6,0,306,1
01_TUMOR/tumor (564).tif,1366,593,773,18.0,82.81112984822934,32.0,127.92108667529108,140.53945666235447,12.618369987063389,106.0,60,284,90,31,20,10,16,82,0,180,0,89,240,139,62,31,20,182,10,276,1654,739,915,0.0,36.56156968876861,10.0,64.10054644808743,71.92786885245901,7.827322404371585,161.0,601,46,11,4,1,5,14,57,0,115,410,280,59,15,7,5,8,131,0,208,1436,611,825,20.0,75.99345335515548,39.0,111.57454545454546,120.24606060606061,8.671515151515152,108.0,17,374,96,31,11,5,10,67,0,147,0,118,379,91,42,11,16,168,0,217,1
01_TUMOR/tumor (565).tif,1736,750,986,14.0,69.38933333333334,44.0,102.15111561866125,110.78803245436106,8.636916835699797,126.0,4,363,242,104,18,6,8,5,0,210,0,64,430,275,117,27,25,42,6,299,2007,872,1135,3.0,27.029816513761467,18.0,49.666079295154184,56.70132158590308,7.035242290748899,148.0,623,223,15,6,2,1,1,1,0,156,237,716,109,25,10,9,12,17,0,259,1893,824,1069,37.0,76.32160194174757,49.0,102.30963517305894,109.733395696913,7.423760523854069,117.0,0,133,567,101,13,6,1,3,0,182,0,2,454,456,75,27,20,35,0,264,1
01_TUMOR/tumor (566).tif,2039,869,1170,18.0,63.62945914844649,37.0,100.67350427350428,113.96068376068376,13.287179487179488,183.0,54,403,256,133,19,4,0,0,0,313,0,82,365,465,198,48,8,4,0,461,2320,1032,1288,0.0,23.377906976744185,12.0,48.3944099378882,59.31987577639752,10.925465838509316,194.0,749,265,16,2,0,0,0,0,0,240,256,752,223,46,4,6,1,0,0,428,2167,930,1237,33.0,73.31720430107526,49.0,102.38965238480193,113.46645109135004,11.0767987065481,149.0,0,251,530,139,10,0,0,0,0,284,0,11,358,641,195,23,8,1,0,436,1
01_TUMOR/tumor (567).tif,2094,903,1191,19.0,82.4983388704319,45.0,125.70109151973132,140.36188077246013,14.660789252728799,179.0,22,271,269,236,54,26,16,9,0,334,0,16,163,400,407,85,65,49,6,536,2283,993,1290,3.0,38.13897280966767,20.0,71.37209302325581,83.45271317829457,12.08062015503876,180.0,439,446,76,8,15,5,3,1,0,303,32,524,548,82,29,42,5,28,0,500,2249,948,1301,36.0,90.37974683544304,63.0,124.95695618754804,136.94850115295927,11.991544965411222,150.0,0,87,462,316,47,20,7,9,0,333,0,0,77,579,498,51,56,40,0,523,1
01_TUMOR/tumor (568).tif,1924,836,1088,16.0,101.01435406698565,43.0,138.75091911764707,152.52757352941177,13.776654411764707,122.0,19,123,113,308,256,11,0,6,0,329,0,15,68,76,649,245,20,7,8,474,2168,983,1185,6.0,45.66531027466938,19.0,71.10801687763713,82.92405063291139,11.816033755274262,150.0,225,589,161,5,0,0,1,2,0,281,34,234,809,86,12,2,1,7,0,453,2277,1026,1251,30.0,97.35087719298245,37.0,123.04556354916068,134.0071942446043,10.961630695443645,110.0,1,72,226,660,62,1,1,3,0,296,0,1,51,450,690,46,4,8,1,473,1
01_TUMOR/tumor (569).tif,1712,735,977,14.0,72.65986394557824,27.0,118.6919140225179,130.12589559877176,11.433981576253839,151.0,35,399,146,52,37,18,20,28,0,221,3,116,320,177,94,80,54,123,10,338,1806,776,1030,6.0,37.87242268041237,14.0,78.23495145631068,87.9631067961165,9.728155339805825,179.0,491,193,42,11,14,5,5,15,0,169,104,516,146,70,52,23,26,93,0,304,1808,788,1020,28.0,89.71827411167513,47.0,127.61078431372549,137.7578431372549,10.147058823529411,136.0,2,103,446,121,47,21,16,32,0,203,0,5,235,382,137,83,47,129,2,343,1
01_TUMOR/tumor (57).tif,1766,756,1010,15.0,78.38095238095238,23.0,127.81980198019802,139.4831683168317,11.663366336633663,162.0,20,312,228,90,50,24,7,24,1,286,1,46,279,289,103,53,79,111,49,369,1807,785,1022,5.0,49.19490445859873,13.0,90.8160469667319,101.6252446183953,10.809197651663405,171.0,314,321,49,39,27,10,4,21,0,268,25,427,272,57,41,58,46,96,0,355,1948,829,1119,22.0,102.99396863691194,67.0,142.4307417336908,152.71492403932083,10.284182305630027,143.0,1,33,358,252,86,46,19,34,0,284,0,0,56,456,261,74,100,162,10,396,1
01_TUMOR/tumor (570).tif,1655,725,930,26.0,81.05241379310345,41.0,117.84193548387097,126.6236559139785,8.781720430107526,121.0,12,356,179,60,26,16,23,53,0,209,0,74,334,221,84,38,30,136,13,275,1725,752,973,6.0,46.777925531914896,20.0,80.41418293936279,88.26927029804727,7.855087358684481,132.0,398,232,38,22,7,10,13,32,0,189,69,470,221,41,25,15,20,112,0,261,1796,774,1022,42.0,102.28940568475453,51.0,131.9559686888454,139.71037181996087,7.75440313111546,115.0,0,38,403,174,42,29,31,57,0,208,0,1,145,425,203,57,37,153,1,266,1
01_TUMOR/tumor (571).tif,1738,750,988,20.0,90.68,38.0,131.3937246963563,143.23987854251013,11.846153846153847,139.0,5,125,263,257,61,24,12,3,0,276,0,6,112,291,350,120,63,34,12,357,2016,906,1110,0.0,28.293598233995585,15.0,53.2027027027027,62.15945945945946,8.956756756756757,164.0,575,299,20,10,2,0,0,0,0,189,166,685,170,39,25,10,9,6,0,308,1929,852,1077,17.0,74.7018779342723,27.0,103.9238625812442,113.12720519962859,9.2033426183844,137.0,22,161,518,125,18,7,0,1,0,227,2,13,361,496,127,43,17,18,0,330,1
01_TUMOR/tumor (572).tif,1702,763,939,21.0,87.98820445609437,39.0,125.11182108626198,136.57507987220447,11.463258785942491,128.0,7,167,228,251,103,4,2,0,1,288,0,13,111,270,396,105,28,11,5,358,2002,901,1101,1.0,29.317425083240842,10.0,52.84377838328792,61.58764759309719,8.743869209809265,170.0,485,407,4,3,1,1,0,0,0,223,115,759,173,22,11,12,4,5,0,315,1944,861,1083,33.0,77.20557491289199,50.0,103.50138504155125,112.41551246537396,8.914127423822714,131.0,0,130,573,149,7,2,0,0,0,255,0,5,233,727,75,23,13,7,0,322,1
01_TUMOR/tumor (573).tif,1476,623,853,15.0,92.37881219903691,25.0,141.13950762016412,150.21101992966,9.071512309495898,156.0,33,243,129,68,36,14,31,68,1,171,2,54,232,139,92,62,31,197,44,247,1563,679,884,6.0,55.23564064801178,15.0,97.86085972850678,106.07126696832579,8.210407239819004,173.0,313,220,47,15,4,15,21,44,0,155,73,326,179,62,27,16,28,172,1,224,1621,695,926,23.0,108.95395683453238,56.0,147.11447084233262,155.31641468682506,8.20194384449244,143.0,4,47,298,174,40,21,33,78,0,182,0,4,139,248,186,71,48,225,5,257,1
01_TUMOR/tumor (574).tif,1663,725,938,19.0,59.04965517241379,37.0,115.9498933901919,137.59168443496802,21.64179104477612,168.0,55,392,201,59,14,3,1,0,0,327,0,34,178,365,215,91,39,11,5,485,1844,844,1000,0.0,26.07345971563981,14.0,65.302,83.836,18.534,186.0,600,219,20,5,0,0,0,0,0,271,67,460,308,113,34,8,3,7,0,427,1846,816,1030,39.0,77.79411764705883,55.0,120.18058252427184,136.76796116504855,16.5873786407767,144.0,0,140,494,153,26,2,1,0,0,310,0,2,111,466,329,83,25,14,0,448,1
01_TUMOR/tumor (575).tif,1760,741,1019,19.0,76.98920377867746,29.0,121.02355250245338,133.21393523061826,12.190382728164867,113.0,26,274,219,110,98,12,0,2,0,281,1,15,263,305,222,127,43,8,35,368,1869,812,1057,0.0,38.0935960591133,15.0,70.73036896877956,81.18637653736991,10.45600756859035,115.0,329,387,84,12,0,0,0,0,0,273,24,437,431,116,22,5,2,17,3,338,1914,837,1077,36.0,90.58781362007169,58.0,123.59981429897864,133.89043639740018,10.290622098421542,103.0,0,36,411,317,68,4,0,1,0,275,0,1,32,532,394,87,12,12,7,345,1
01_TUMOR/tumor (576).tif,1609,698,911,14.0,59.31805157593123,32.0,106.24478594950604,122.43468715697036,16.189901207464324,168.0,50,371,195,67,12,3,0,0,0,288,0,53,273,319,179,60,20,7,0,403,1912,864,1048,0.0,24.711805555555557,8.0,53.93129770992366,66.61832061068702,12.687022900763358,170.0,624,225,14,1,0,0,0,0,0,234,145,593,216,62,25,5,2,0,0,384,1891,835,1056,37.0,76.17365269461078,51.0,110.08333333333333,122.03125,11.947916666666666,137.0,0,165,509,146,14,1,0,0,0,281,0,4,218,548,213,56,13,4,0,390,1
01_TUMOR/tumor (577).tif,1970,840,1130,19.0,58.625,33.0,117.68407079646018,138.4504424778761,20.76637168141593,178.0,72,490,179,48,40,8,2,1,0,360,0,87,279,269,240,146,67,39,3,583,2180,968,1212,0.0,24.44214876033058,11.0,65.41666666666667,82.77475247524752,17.358085808580856,195.0,727,185,41,13,1,1,0,0,0,308,178,488,306,136,57,20,14,13,0,530,2106,888,1218,26.0,74.55743243243244,55.0,120.0968801313629,136.51970443349754,16.422824302134647,163.0,5,268,426,149,32,6,1,1,0,375,0,4,223,468,322,140,39,21,1,571,1
01_TUMOR/tumor (578).tif,2127,907,1220,20.0,72.1135611907387,37.0,111.05,124.19918032786886,13.149180327868853,138.0,10,366,373,114,9,12,7,16,0,368,0,25,369,518,176,34,26,56,16,496,2444,1122,1322,0.0,23.190730837789662,10.0,50.57639939485628,60.905446293494705,10.329046898638426,199.0,914,189,11,0,2,0,0,6,0,288,227,891,126,14,10,9,3,42,0,440,2321,1008,1313,22.0,68.63194444444444,41.0,99.4996191926885,110.27418126428027,10.774562071591774,160.0,5,339,597,52,1,4,2,8,0,323,0,16,629,511,69,19,14,55,0,465,1
01_TUMOR/tumor (579).tif,2248,939,1309,15.0,88.00319488817891,36.0,141.16806722689077,160.44919786096256,19.28113063407181,154.0,18,243,234,271,125,37,8,3,0,475,0,19,114,225,453,314,114,58,12,683,2298,987,1311,6.0,42.77811550151976,15.0,86.88253241800153,104.89244851258582,18.009916094584288,166.0,362,445,133,33,10,1,2,1,0,385,27,301,490,294,107,50,21,21,0,618,2427,1041,1386,28.0,95.42651296829972,60.0,139.12842712842712,155.3896103896104,16.261183261183263,132.0,1,62,397,449,99,23,7,3,0,457,0,1,56,348,557,274,101,45,4,662,1
01_TUMOR/tumor (58).tif,1708,742,966,10.0,76.05929919137466,28.0,115.61697722567288,127.12111801242236,11.504140786749483,145.0,43,330,168,100,40,19,21,21,0,245,1,67,300,266,137,74,40,72,9,373,2116,943,1173,0.0,18.60445387062566,5.0,41.994884910485936,49.46717817561807,7.47229326513214,168.0,835,71,15,6,6,2,0,8,0,135,684,335,56,23,9,14,6,46,0,253,1825,781,1044,15.0,55.16005121638924,30.0,85.27011494252874,93.69061302681992,8.420498084291188,142.0,63,521,136,29,12,9,3,8,0,164,1,289,494,107,58,17,20,58,0,286,1
01_TUMOR/tumor (580).tif,1536,672,864,15.0,81.25446428571429,27.0,126.51736111111111,138.1087962962963,11.591435185185185,143.0,24,220,169,153,74,24,6,2,0,219,1,38,143,220,253,100,82,27,0,311,1849,868,981,0.0,19.725806451612904,4.0,44.79306829765545,53.7217125382263,8.928644240570845,169.0,706,138,21,3,0,0,0,0,0,141,353,462,92,37,16,10,4,7,0,230,1660,765,895,12.0,57.1764705882353,31.0,89.49050279329609,99.45474860335196,9.964245810055866,145.0,53,397,260,47,8,0,0,0,0,173,0,151,420,193,73,37,11,10,0,249,1
01_TUMOR/tumor (581).tif,1700,753,947,19.0,61.06772908366534,33.0,105.7455121436114,119.48152059134108,13.736008447729672,174.0,71,399,164,77,25,11,1,5,0,282,0,132,281,242,149,84,28,15,16,385,2190,1012,1178,0.0,14.183794466403162,6.0,35.99320882852292,44.59847198641766,8.605263157894736,198.0,920,76,10,4,0,0,0,2,0,139,671,357,99,23,10,5,0,13,0,296,1940,851,1089,17.0,49.7027027027027,32.0,79.41046831955923,88.6694214876033,9.258953168044076,146.0,79,593,140,33,3,0,1,2,0,190,0,341,469,166,70,21,5,17,0,313,1
01_TUMOR/tumor (582).tif,1952,852,1100,17.0,66.89319248826291,31.0,108.63636363636364,124.06454545454545,15.428181818181818,157.0,32,396,278,87,43,12,4,0,0,355,0,40,324,422,189,63,32,26,4,491,2097,919,1178,6.0,36.889009793253535,15.0,71.31239388794567,84.25721561969439,12.944821731748727,152.0,435,383,67,26,4,4,0,0,0,311,25,527,413,123,36,21,26,7,0,467,2151,926,1225,37.0,89.8304535637149,64.0,126.3273469387755,138.89632653061224,12.568979591836735,120.0,0,51,499,287,71,10,8,0,0,357,0,0,87,529,406,124,46,33,0,490,1
01_TUMOR/tumor (583).tif,1488,637,851,15.0,79.00470957613815,30.0,125.44535840188014,138.89659224441834,13.45123384253819,143.0,30,173,233,144,22,18,6,11,0,239,1,20,99,341,225,76,43,45,1,326,1771,794,977,1.0,27.73551637279597,7.0,56.380757420675536,65.73183213920164,9.3510747185261,179.0,575,185,15,6,1,2,6,4,0,156,166,573,127,43,21,8,15,24,0,254,1667,728,939,23.0,70.63598901098901,35.0,104.94462193823216,114.52822151224707,9.58359957401491,142.0,12,253,374,54,14,7,9,5,0,192,0,31,334,373,102,38,29,32,0,276,1
01_TUMOR/tumor (584).tif,1827,790,1037,21.0,83.02658227848102,38.0,136.00675024108003,150.09064609450337,14.083895853423337,134.0,42,345,133,115,50,32,32,41,0,297,0,68,191,248,175,95,73,157,30,435,2155,974,1181,0.0,21.59034907597536,8.0,53.292972057578325,62.83149872988992,9.538526672311601,168.0,816,112,12,6,8,1,2,17,0,176,546,381,81,37,30,27,17,62,0,317,1941,833,1108,19.0,58.44297719087635,32.0,94.86462093862816,105.17148014440433,10.306859205776174,146.0,89,488,166,41,12,13,4,20,0,213,0,284,419,175,66,42,35,87,0,349,1
01_TUMOR/tumor (585).tif,1942,857,1085,23.0,88.98833138856476,37.0,138.70230414746544,153.56774193548387,14.865437788018433,159.0,16,285,207,138,136,28,20,27,0,330,0,17,127,241,326,193,77,99,5,472,2209,990,1219,2.0,31.86060606060606,14.0,63.726825266611975,75.24774405250206,11.520918785890073,179.0,598,320,43,12,6,2,1,8,0,237,147,619,289,63,31,20,7,43,0,399,2108,917,1191,23.0,74.49400218102508,35.0,109.66834592779178,121.49538203190596,11.827036104114189,147.0,4,344,370,147,25,9,4,14,0,308,0,25,353,529,143,52,32,57,0,423,1
01_TUMOR/tumor (586).tif,1276,549,727,20.0,107.40072859744991,42.0,159.2888583218707,170.76616231086658,11.477303988995873,115.0,9,70,136,182,68,25,19,40,0,186,0,6,21,94,250,155,58,97,46,264,1411,619,792,0.0,47.48142164781906,12.0,89.13383838383838,97.98106060606061,8.847222222222221,154.0,220,303,36,15,4,9,13,19,0,134,35,293,238,69,31,4,26,96,0,187,1468,632,836,19.0,91.8117088607595,42.0,131.8193779904306,140.3684210526316,8.549043062200957,113.0,5,90,317,129,32,15,19,25,0,164,0,16,110,337,155,60,21,137,0,225,1
01_TUMOR/tumor (587).tif,1882,821,1061,17.0,86.39342265529842,29.0,130.9679547596607,141.79170593779455,10.823751178133836,119.0,40,320,170,128,40,47,24,52,0,281,1,102,231,237,156,64,80,145,45,376,2205,980,1225,0.0,21.916326530612245,7.0,53.910204081632656,61.222857142857144,7.3126530612244895,174.0,839,74,23,18,5,2,2,17,0,139,680,285,62,37,23,11,16,111,0,273,1927,842,1085,20.0,60.802850356294535,33.0,94.7520737327189,102.9447004608295,8.192626728110598,151.0,72,544,110,36,31,15,4,30,0,174,0,331,412,109,40,44,23,126,0,289,1
01_TUMOR/tumor (588).tif,1728,753,975,12.0,89.50066401062416,29.0,135.55282051282052,149.39384615384614,13.841025641025642,175.0,49,304,159,70,32,25,31,83,0,288,1,44,235,248,150,39,36,156,66,385,2140,952,1188,0.0,27.759453781512605,5.0,62.523569023569024,71.04461279461279,8.521043771043772,215.0,811,51,24,9,3,2,3,49,0,157,593,333,29,35,17,10,7,164,0,287,1842,798,1044,13.0,67.17167919799499,24.0,104.58045977011494,114.5316091954023,9.951149425287356,175.0,61,515,91,28,28,4,9,62,0,186,3,215,466,84,50,29,21,175,1,335,1
01_TUMOR/tumor (589).tif,1685,719,966,20.0,75.41307371349096,29.0,124.4399585921325,137.527950310559,13.087991718426501,151.0,40,305,165,96,70,27,9,7,0,273,1,48,222,219,218,133,60,60,5,373,2205,1007,1198,0.0,16.809334657398214,7.0,39.71202003338898,47.97913188647746,8.267111853088482,193.0,869,116,16,4,0,2,0,0,0,158,582,472,70,35,15,3,6,15,0,284,1926,856,1070,15.0,51.76168224299065,31.0,82.17009345794392,91.65607476635515,9.485981308411215,152.0,76,555,181,31,8,1,3,1,0,206,0,262,541,158,43,31,16,19,0,311,1
01_TUMOR/tumor (59).tif,1611,718,893,17.0,65.94428969359332,30.0,110.62821948488242,124.56886898096305,13.940649496080628,170.0,69,361,145,94,18,4,3,24,0,262,2,86,232,283,166,47,23,47,7,369,2116,994,1122,0.0,17.826961770623743,5.0,39.11942959001782,47.842245989304814,8.722816399286987,221.0,901,65,3,4,1,1,1,18,0,138,610,392,53,23,3,4,4,33,0,280,1838,810,1028,16.0,53.49382716049383,21.0,82.23054474708171,91.4863813229572,9.255836575875486,182.0,88,516,165,15,5,0,3,18,0,180,3,267,521,132,42,9,10,44,0,298,1
01_TUMOR/tumor (590).tif,1923,834,1089,11.0,95.06235011990408,35.0,145.28558310376494,158.69972451790633,13.414141414141413,141.0,16,219,273,135,76,33,17,65,0,330,0,11,80,287,307,191,53,137,23,430,2047,935,1112,1.0,35.331550802139034,15.0,72.4820143884892,83.78956834532374,11.307553956834532,176.0,589,262,44,9,2,1,1,27,0,259,84,551,286,69,17,3,19,83,0,383,2025,903,1122,4.0,78.67441860465117,39.0,117.3663101604278,129.08021390374333,11.713903743315509,137.0,9,281,437,101,23,3,6,43,0,296,0,16,286,483,169,36,14,118,0,419,1
01_TUMOR/tumor (591).tif,1671,720,951,8.0,58.68055555555556,31.0,89.65509989484752,98.64563617245005,8.990536277602523,112.0,15,442,206,53,4,0,0,0,0,194,0,86,427,344,89,5,0,0,0,263,2040,896,1144,0.0,21.449776785714285,12.0,40.45804195804196,47.80681818181818,7.348776223776224,141.0,731,161,4,0,0,0,0,0,0,153,318,713,110,2,1,0,0,0,0,270,1852,803,1049,19.0,69.79825653798257,54.0,93.24118207816969,100.9532888465205,7.71210676835081,120.0,2,218,504,75,4,0,0,0,0,175,0,8,483,492,60,4,2,0,0,252,1
